country,city
אוסטריה , וינה
אוקראינה , קייב
איטליה , רומא
איסלנד , רייקיאוויק
אירלנד , דאבלין
אלבניה ,  טירנה
אנדורה , אנדורה לה ולה
אסטוניה , טאלין
בולגריה , סופיה
בוסניה והרצגובינה ,  סרייבו
בלארוס , מינסק
בלגיה , בריסל
בריטניה, לונדון
גרמניה , ברלין
דנמרק , קופנהגן
הולנד , אמסטרדם
הונגריה , בודפשט
וותיקן,
יוון , אתונה
לוקסמבורג , לוקסמבורג
לטביה , ריגה
ליטא , וילנה
ליכטנשטיין , ואדוז
מולדובה , קישינב
מונאקו , מונאקו
מונטנגרו , פודגוריצה
מלטה , ולטה
מקדוניה ,  סקופיה
נורבגיה , אוסלו
סלובניה , ליובליאנה
סלובקיה , ברטיסלבה
סן מרינו , סן מרינו
ספרד , מדריד
סרביה , בלגרד
פולין , ורשה
פורטוגל , ליסבון
פינלנד , הלסינקי
צ'כיה , פראג
צרפת , פריז
קפריסין , ניקוסיה
קרואטיה , זאגרב
רומניה , בוקרשט
רוסיה , מוסקבה
שבדיה , שטוקהולם
שוויץ , ברן
